Order_ID,Order_Time,City,Restaurant,Order_Value,Delivery_Fee,Discount,Payment_Mode,Delivery_Time_Min,Final_Amount
ORD100056,2023-01-03 08:00:00,Mumbai,South Express,1159.16,39.07,373.45,UPI,88,824.78
ORD100057,2023-01-03 09:00:00,Hyderabad,Pizza Corner,307.32,83.33,84.38,Cash,33,306.27
ORD100058,2023-01-03 10:00:00,Chennai,Tandoori Nights,173.49,75.62,375.8,Cash,61,-126.69
ORD100059,2023-01-03 11:00:00,Delhi,South Express,1749.67,4.59,90.04,Wallet,56,1664.22
ORD100060,2023-01-03 12:00:00,Mumbai,Biryani House,1806.59,96.45,76.59,UPI,29,1826.45
ORD100061,2023-01-03 13:00:00,Hyderabad,Tandoori Nights,1995.73,45.72,314.98,Card,44,1726.47
ORD100062,2023-01-03 14:00:00,Chennai,South Express,1213.3,51.69,486.74,Cash,69,778.25
ORD100063,2023-01-03 15:00:00,Bangalore,Pizza Corner,991.06,30.14,219.71,UPI,56,801.4899999999999
ORD100064,2023-01-03 16:00:00,Chennai,South Express,1430.36,39.84,194.79,Cash,11,1275.4099999999999
ORD100065,2023-01-03 17:00:00,Delhi,Biryani House,1655.88,73.41,123.64,UPI,32,1605.65
ORD100066,2023-01-03 18:00:00,Kolkata,Pizza Corner,161.52,63.52,493.54,Cash,79,-268.5
ORD100067,2023-01-03 19:00:00,Hyderabad,Tandoori Nights,360.68,16.12,234.66,Cash,20,142.14000000000001
ORD100068,2023-01-03 20:00:00,Mumbai,Pizza Corner,187.01,76.49,470.07,UPI,32,-206.57
ORD100069,2023-01-03 21:00:00,Bangalore,Spice Hub,1149.79,6.64,339.58,Wallet,60,816.8500000000001
ORD100070,2023-01-03 22:00:00,Delhi,Biryani House,541.99,57.06,130.25,Wallet,23,468.79999999999995
ORD100071,2023-01-03 23:00:00,Chennai,South Express,1056.93,32.69,229.78,UPI,65,859.8400000000001
ORD100072,2023-01-04 00:00:00,Mumbai,Spice Hub,673.43,85.73,15.81,Card,69,743.35
ORD100073,2023-01-04 01:00:00,Bangalore,Tandoori Nights,1384.02,71.52,5.68,Wallet,21,1449.86
ORD100074,2023-01-04 02:00:00,Bangalore,Spice Hub,1200.32,55.93,67.33,Cash,67,1188.92
ORD100075,2023-01-04 03:00:00,Mumbai,Pizza Corner,1788.7,63.44,3.45,Card,64,1848.69
ORD100076,2023-01-04 04:00:00,Delhi,Biryani House,135.82,98.08,370.83,Wallet,47,-136.93
ORD100077,2023-01-04 05:00:00,Pune,Tandoori Nights,1513.35,58.16,155.18,UPI,49,1416.33
ORD100078,2023-01-04 06:00:00,Mumbai,Spice Hub,1888.34,5.85,145.62,Cash,25,1748.5699999999997
ORD100079,2023-01-04 07:00:00,Hyderabad,Pizza Corner,1164.04,49.11,374.68,UPI,28,838.4699999999998
ORD100080,2023-01-04 08:00:00,Pune,Urban Tadka,1268.79,24.37,242.88,Wallet,48,1050.2799999999997
ORD100081,2023-01-04 09:00:00,Kolkata,Urban Tadka,1288.65,44.81,212.07,Wallet,50,1121.39
ORD100082,2023-01-04 10:00:00,Chennai,Urban Tadka,1041.1,14.64,35.33,UPI,44,1020.41
ORD100083,2023-01-04 11:00:00,Hyderabad,Biryani House,,43.31,172.09,UPI,60,
ORD100084,2023-01-04 12:00:00,Kolkata,Spice Hub,1781.62,57.48,87.67,Wallet,20,1751.4299999999998
ORD100085,2023-01-04 13:00:00,Mumbai,Urban Tadka,787.18,52.06,445.83,UPI,48,393.41
ORD100086,2023-01-04 14:00:00,Hyderabad,Tandoori Nights,1054.9,43.11,378.68,Wallet,13,719.3299999999999
ORD100087,2023-01-04 15:00:00,Pune,South Express,1481.89,43.38,465.66,Wallet,37,1059.6100000000001
ORD100088,2023-01-04 16:00:00,Delhi,Biryani House,252.31,94.33,297.47,Card,35,49.16999999999996
ORD100089,2023-01-04 17:00:00,Delhi,Tandoori Nights,862.38,31.54,450.67,Cash,58,443.24999999999994
ORD100090,2023-01-04 18:00:00,Bangalore,South Express,140.68,4.56,398.58,Card,36,-253.33999999999997
ORD100091,2023-01-04 19:00:00,Bangalore,Biryani House,271.78,27.19,81.04,Cash,54,217.92999999999995
ORD100092,2023-01-04 20:00:00,Mumbai,South Express,440.94,96.74,218.75,UPI,44,318.92999999999995
ORD100093,2023-01-04 21:00:00,Hyderabad,Spice Hub,602.4,88.02,12.61,Wallet,34,677.81
ORD100094,2023-01-04 22:00:00,Chennai,Tandoori Nights,1695.39,21.46,214.1,Cash,59,1502.7500000000002
ORD100095,2023-01-04 23:00:00,Bangalore,Tandoori Nights,1216.42,43.9,383.08,Cash,14,877.2400000000002
ORD100096,2023-01-05 00:00:00,Pune,Urban Tadka,576.28,74.55,268.8,Card,51,382.0299999999999
ORD100097,2023-01-05 01:00:00,Pune,South Express,1496.37,35.54,243.35,Cash,82,1288.56
ORD100098,2023-01-05 02:00:00,Delhi,Biryani House,1022.35,77.06,487.2,UPI,16,612.21
ORD100099,2023-01-05 03:00:00,Delhi,South Express,330.54,77.96,9.19,Wallet,33,399.31
ORD100100,2023-01-05 04:00:00,Mumbai,Pizza Corner,760.73,12.91,247.28,Card,79,526.36
ORD100101,2023-01-05 05:00:00,Mumbai,South Express,811.8,42.66,158.32,UPI,20,696.1399999999999
ORD100102,2023-01-05 06:00:00,Kolkata,Tandoori Nights,1754.07,97.07,414.84,UPI,73,1436.3
ORD100103,2023-01-05 07:00:00,Hyderabad,Tandoori Nights,1896.06,90.47,309.71,Wallet,41,1676.82
ORD100104,2023-01-05 08:00:00,Delhi,South Express,1163.3,25.0,120.83,Wallet,40,1067.47
ORD100105,2023-01-05 09:00:00,,Urban Tadka,225.65,39.79,158.74,Cash,89,106.69999999999999
ORD100106,2023-01-05 10:00:00,Kolkata,Tandoori Nights,890.48,13.99,431.56,UPI,57,472.91
ORD100107,2023-01-05 11:00:00,Kolkata,Spice Hub,877.3,99.31,89.78,Wallet,60,886.8299999999999
ORD100108,2023-01-05 12:00:00,,Pizza Corner,113.08,68.99,390.45,UPI,43,-208.38
ORD100109,2023-01-05 13:00:00,Chennai,Tandoori Nights,1263.16,39.32,338.38,UPI,67,964.1
ORD100110,2023-01-05 14:00:00,Kolkata,Pizza Corner,1969.33,43.88,318.71,UPI,25,1694.5
ORD100111,2023-01-05 15:00:00,Pune,Pizza Corner,147.42,33.59,10.75,Card,68,170.26
ORD100112,2023-01-05 16:00:00,Bangalore,Urban Tadka,1593.98,34.04,94.22,Card,87,1533.8
ORD100113,2023-01-05 17:00:00,Chennai,Biryani House,801.04,41.61,418.52,Wallet,58,424.13
ORD100114,2023-01-05 18:00:00,Hyderabad,Tandoori Nights,1175.58,94.33,34.4,Cash,43,1235.5099999999998
ORD100115,2023-01-05 19:00:00,Kolkata,Biryani House,,60.54,177.22,Card,26,
ORD100116,2023-01-05 20:00:00,Hyderabad,Pizza Corner,1756.85,94.51,29.58,UPI,65,1821.78
ORD100117,2023-01-05 21:00:00,Kolkata,South Express,1153.49,91.46,200.64,Wallet,11,1044.31
ORD100118,2023-01-05 22:00:00,Delhi,Pizza Corner,,58.69,292.8,Card,53,
ORD100119,2023-01-05 23:00:00,Hyderabad,Biryani House,709.16,55.5,78.96,Wallet,66,685.6999999999999
ORD100120,2023-01-06 00:00:00,Chennai,Spice Hub,109.41,2.33,376.78,Card,73,-265.03999999999996
ORD100121,2023-01-06 01:00:00,Hyderabad,Urban Tadka,,23.03,1.09,UPI,37,
ORD100122,2023-01-06 02:00:00,Chennai,Biryani House,1766.83,46.12,243.24,Card,47,1569.7099999999998
ORD100123,2023-01-06 03:00:00,Pune,Tandoori Nights,1746.42,7.11,2.08,Card,74,1751.45
ORD100124,2023-01-06 04:00:00,Chennai,Urban Tadka,1700.65,7.53,208.87,Card,18,1499.31
ORD100125,2023-01-06 05:00:00,Kolkata,South Express,909.61,48.87,454.62,Card,32,503.86
ORD100126,2023-01-06 06:00:00,Chennai,South Express,703.76,54.76,70.53,Cash,70,687.99
ORD100127,2023-01-06 07:00:00,Mumbai,South Express,352.84,64.51,393.12,Card,15,24.22999999999996
ORD100128,2023-01-06 08:00:00,Delhi,Biryani House,1070.03,57.58,152.79,UPI,41,974.8199999999999
ORD100129,2023-01-06 09:00:00,Chennai,Tandoori Nights,1495.74,64.31,445.28,UPI,33,1114.77
ORD100130,2023-01-06 10:00:00,Bangalore,Spice Hub,953.72,88.64,187.49,Cash,57,854.8700000000001
ORD100131,2023-01-06 11:00:00,Delhi,Urban Tadka,1011.82,2.86,215.91,Cash,30,798.7700000000001
ORD100132,2023-01-06 12:00:00,Kolkata,South Express,1047.11,25.22,169.8,UPI,11,902.53
ORD100133,2023-01-06 13:00:00,Bangalore,Biryani House,1501.27,2.27,368.86,Card,33,1134.6799999999998
ORD100134,2023-01-06 14:00:00,Chennai,South Express,1890.87,54.4,377.0,Card,65,1568.27
ORD100135,2023-01-06 15:00:00,Mumbai,South Express,246.9,76.19,77.88,Wallet,37,245.21000000000004
ORD100136,2023-01-06 16:00:00,Mumbai,Tandoori Nights,549.32,12.42,425.49,UPI,31,136.25
ORD100137,2023-01-06 17:00:00,Delhi,Tandoori Nights,1201.27,85.28,199.86,Wallet,17,1086.69
ORD100138,2023-01-06 18:00:00,Bangalore,South Express,134.51,87.54,423.26,Cash,18,-201.20999999999998
ORD100139,2023-01-06 19:00:00,Chennai,Pizza Corner,1091.88,21.58,129.0,Cash,27,984.46
ORD100140,2023-01-06 20:00:00,Chennai,Tandoori Nights,1416.32,31.55,270.13,Cash,29,1177.7399999999998
ORD100141,2023-01-06 21:00:00,Delhi,Spice Hub,1915.56,17.98,433.25,Wallet,64,1500.29
ORD100142,2023-01-06 22:00:00,Chennai,Pizza Corner,938.56,39.39,167.98,Card,19,809.9699999999999
ORD100143,2023-01-06 23:00:00,Mumbai,Spice Hub,1224.96,32.68,438.25,Card,74,819.3900000000001
ORD100144,2023-01-07 00:00:00,Pune,South Express,624.91,82.49,278.45,Cash,62,428.95
ORD100145,2023-01-07 01:00:00,Chennai,South Express,828.47,64.33,53.55,Wallet,12,839.2500000000001
ORD100146,2023-01-07 02:00:00,Mumbai,Tandoori Nights,163.81,14.0,480.94,Cash,67,-303.13
ORD100147,2023-01-07 03:00:00,Delhi,Spice Hub,1585.23,90.35,158.16,Cash,84,1517.4199999999998
ORD100148,2023-01-07 04:00:00,Bangalore,Urban Tadka,1672.44,90.24,62.28,Wallet,81,1700.4
ORD100149,2023-01-07 05:00:00,Hyderabad,Spice Hub,1844.43,0.9,238.46,Card,55,1606.8700000000001
ORD100150,2023-01-07 06:00:00,Mumbai,Tandoori Nights,766.52,46.69,451.99,Cash,11,361.22
ORD100151,2023-01-07 07:00:00,Bangalore,South Express,506.03,66.96,439.11,Cash,58,133.88
ORD100152,2023-01-07 08:00:00,Chennai,Tandoori Nights,730.3,65.14,323.59,Card,86,471.84999999999997
ORD100153,2023-01-07 09:00:00,Chennai,Spice Hub,1715.94,67.74,310.63,Wallet,19,1473.0500000000002
ORD100154,2023-01-07 10:00:00,Bangalore,Biryani House,1757.55,58.8,201.28,Card,56,1615.07
ORD100155,2023-01-07 11:00:00,Bangalore,Spice Hub,947.8,74.81,371.46,UPI,88,651.1499999999999
ORD100156,2023-01-07 12:00:00,Pune,Spice Hub,598.81,5.05,410.75,Card,61,193.1099999999999
ORD100157,2023-01-07 13:00:00,Delhi,Urban Tadka,1851.19,97.53,101.76,Cash,62,1846.96
ORD100158,2023-01-07 14:00:00,Mumbai,Pizza Corner,854.84,72.97,493.9,Wallet,39,433.9100000000001
ORD100159,2023-01-07 15:00:00,Bangalore,Urban Tadka,1486.83,89.99,293.09,Cash,20,1283.73
ORD100160,2023-01-07 16:00:00,Pune,Urban Tadka,1155.2,65.46,97.25,Wallet,56,1123.41
ORD100161,2023-01-07 17:00:00,Pune,Pizza Corner,1684.31,23.24,324.24,Wallet,65,1383.31
ORD100162,2023-01-07 18:00:00,,Pizza Corner,1131.2,17.24,368.1,Card,84,780.34
ORD100163,2023-01-07 19:00:00,Delhi,South Express,495.07,56.0,220.39,Cash,33,330.67999999999995
ORD100164,2023-01-07 20:00:00,Pune,Urban Tadka,278.16,16.28,454.81,Cash,49,-160.36999999999995
ORD100165,2023-01-07 21:00:00,Kolkata,Spice Hub,1960.28,11.72,385.5,Wallet,32,1586.5
ORD100166,2023-01-07 22:00:00,Mumbai,Pizza Corner,1132.54,91.23,458.96,Cash,65,764.81
ORD100167,2023-01-07 23:00:00,Bangalore,Tandoori Nights,482.95,57.19,402.36,UPI,75,137.77999999999997
ORD100168,2023-01-08 00:00:00,Chennai,Biryani House,1555.4,86.81,302.13,Card,28,1340.08
ORD100169,2023-01-08 01:00:00,Pune,Spice Hub,1049.02,74.15,414.95,UPI,14,708.22
ORD100170,2023-01-08 02:00:00,Delhi,Pizza Corner,573.17,65.11,309.53,Wallet,68,328.75
ORD100171,2023-01-08 03:00:00,Pune,Urban Tadka,306.16,31.16,86.65,UPI,16,250.67000000000004
ORD100172,2023-01-08 04:00:00,Kolkata,South Express,475.93,0.66,160.71,Card,28,315.88
ORD100173,2023-01-08 05:00:00,Kolkata,Urban Tadka,399.43,27.34,131.97,Cash,46,294.79999999999995
ORD100174,2023-01-08 06:00:00,Mumbai,Spice Hub,1715.3,43.48,172.34,Cash,82,1586.44
ORD100175,2023-01-08 07:00:00,Bangalore,Pizza Corner,314.47,57.95,31.05,UPI,16,341.37
ORD100176,2023-01-08 08:00:00,Mumbai,Pizza Corner,471.17,60.59,6.34,UPI,51,525.42
ORD100177,2023-01-08 09:00:00,Kolkata,Pizza Corner,664.1,77.9,11.67,Cash,23,730.33
ORD100178,2023-01-08 10:00:00,Chennai,Biryani House,562.95,91.67,447.65,Wallet,84,206.97000000000003
ORD100179,2023-01-08 11:00:00,Bangalore,Urban Tadka,1390.72,77.82,411.36,Cash,14,1057.1799999999998
ORD100180,2023-01-08 12:00:00,Delhi,Pizza Corner,565.74,3.78,293.46,Card,68,276.06
ORD100181,2023-01-08 13:00:00,Kolkata,Pizza Corner,658.84,97.09,389.88,UPI,54,366.05000000000007
ORD100182,2023-01-08 14:00:00,Delhi,Pizza Corner,1397.88,33.33,180.15,Wallet,29,1251.06
ORD100183,2023-01-08 15:00:00,Mumbai,Biryani House,164.44,51.82,306.17,Wallet,17,-89.91000000000003
ORD100184,2023-01-08 16:00:00,Kolkata,Biryani House,930.89,46.43,346.54,Card,78,630.78
ORD100185,2023-01-08 17:00:00,Delhi,Biryani House,390.21,8.03,309.52,Wallet,57,88.71999999999997
ORD100186,2023-01-08 18:00:00,Mumbai,Urban Tadka,599.52,24.5,247.07,Cash,81,376.95
ORD100187,2023-01-08 19:00:00,Hyderabad,Tandoori Nights,946.19,58.31,360.72,Cash,60,643.78
ORD100188,2023-01-08 20:00:00,Mumbai,Urban Tadka,819.31,35.5,416.25,Wallet,35,438.55999999999995
ORD100189,2023-01-08 21:00:00,Mumbai,South Express,485.62,29.04,192.8,Cash,33,321.85999999999996
ORD100190,2023-01-08 22:00:00,Pune,Pizza Corner,1815.72,87.47,189.22,UPI,28,1713.97
ORD100191,2023-01-08 23:00:00,Kolkata,Pizza Corner,1162.69,42.18,170.96,Wallet,34,1033.91
ORD100192,2023-01-09 00:00:00,Chennai,Tandoori Nights,1954.95,30.7,161.05,Cash,62,1824.6000000000001
ORD100193,2023-01-09 01:00:00,Chennai,South Express,1170.44,19.84,301.25,Card,59,889.03
ORD100194,2023-01-09 02:00:00,Hyderabad,Tandoori Nights,1825.4,47.6,348.28,Wallet,69,1524.72
ORD100195,2023-01-09 03:00:00,Pune,Urban Tadka,184.71,17.21,214.13,Card,54,-12.20999999999998
ORD100196,2023-01-09 04:00:00,Kolkata,Biryani House,1657.92,3.87,60.62,Card,72,1601.17
ORD100197,2023-01-09 05:00:00,Delhi,Tandoori Nights,1210.43,90.06,52.58,UPI,61,1247.91
ORD100198,2023-01-09 06:00:00,Hyderabad,Tandoori Nights,1198.88,18.1,241.17,UPI,20,975.8100000000001
ORD100199,2023-01-09 07:00:00,Delhi,South Express,459.79,95.17,371.45,UPI,16,183.51000000000005
ORD100200,2023-01-09 08:00:00,Hyderabad,Biryani House,856.99,74.62,123.94,Wallet,49,807.6700000000001
ORD100201,2023-01-09 09:00:00,Mumbai,Tandoori Nights,1276.26,39.9,344.09,Cash,22,972.0700000000002
ORD100202,2023-01-09 10:00:00,Bangalore,Spice Hub,1912.48,99.36,145.05,Wallet,77,1866.79
ORD100203,2023-01-09 11:00:00,Kolkata,Urban Tadka,578.17,64.66,312.87,Card,57,329.9599999999999
ORD100204,2023-01-09 12:00:00,Kolkata,Biryani House,529.76,97.02,115.62,Cash,32,511.15999999999997
ORD100205,2023-01-09 13:00:00,Chennai,Spice Hub,,17.78,464.54,Card,25,
ORD100206,2023-01-09 14:00:00,Kolkata,Tandoori Nights,570.57,15.49,315.13,Wallet,33,270.93000000000006
ORD100207,2023-01-09 15:00:00,Delhi,Biryani House,666.76,22.87,171.17,Wallet,18,518.46
ORD100208,2023-01-09 16:00:00,Kolkata,South Express,155.39,1.26,404.04,Wallet,79,-247.39000000000004
ORD100209,2023-01-09 17:00:00,Delhi,Spice Hub,1487.21,79.57,318.36,UPI,87,1248.42
ORD100210,2023-01-09 18:00:00,Kolkata,Urban Tadka,196.27,99.38,183.24,Card,36,112.40999999999997
ORD100211,2023-01-09 19:00:00,Hyderabad,Tandoori Nights,130.62,77.42,269.68,Wallet,39,-61.639999999999986
ORD100212,2023-01-09 20:00:00,Mumbai,Spice Hub,1950.22,94.82,103.52,Card,40,1941.52
ORD100213,2023-01-09 21:00:00,Mumbai,Urban Tadka,134.46,95.74,257.28,Card,60,-27.079999999999984
ORD100214,2023-01-09 22:00:00,Kolkata,South Express,1021.78,65.98,108.38,Cash,63,979.38
ORD100215,2023-01-09 23:00:00,Delhi,Biryani House,1725.55,3.92,86.99,Cash,87,1642.48
ORD100216,2023-01-10 00:00:00,Pune,Biryani House,1477.71,4.97,191.82,Card,84,1290.8600000000001
ORD100217,2023-01-10 01:00:00,Kolkata,Tandoori Nights,616.54,26.3,411.22,UPI,71,231.6199999999999
ORD100218,2023-01-10 02:00:00,Delhi,Pizza Corner,1402.52,78.75,311.8,Cash,76,1169.47
ORD100219,2023-01-10 03:00:00,Chennai,South Express,1440.62,83.57,272.05,Cash,77,1252.1399999999999
ORD100220,2023-01-10 04:00:00,Bangalore,Tandoori Nights,1478.54,71.49,176.08,Card,56,1373.95
ORD100221,2023-01-10 05:00:00,Kolkata,Biryani House,282.25,96.9,336.93,Card,65,42.21999999999997
ORD100222,2023-01-10 06:00:00,Hyderabad,Biryani House,1843.59,37.96,223.13,Cash,35,1658.42
ORD100223,2023-01-10 07:00:00,Chennai,Urban Tadka,1396.92,88.44,281.02,Card,84,1204.3400000000001
ORD100224,2023-01-10 08:00:00,Bangalore,Biryani House,759.81,49.39,153.95,Cash,47,655.25
ORD100225,2023-01-10 09:00:00,Pune,Spice Hub,714.67,34.25,8.4,Wallet,39,740.52
ORD100226,2023-01-10 10:00:00,Pune,Spice Hub,1222.55,85.92,340.4,UPI,64,968.07
ORD100227,2023-01-10 11:00:00,Delhi,Pizza Corner,304.85,25.83,136.65,Wallet,17,194.03
ORD100228,2023-01-10 12:00:00,Kolkata,Biryani House,602.58,28.06,337.24,Card,55,293.4
ORD100229,2023-01-10 13:00:00,Hyderabad,Spice Hub,,77.15,466.09,UPI,57,
ORD100230,2023-01-10 14:00:00,Hyderabad,Tandoori Nights,1041.17,62.92,72.38,Card,84,1031.71
ORD100231,2023-01-10 15:00:00,Kolkata,Urban Tadka,1011.37,79.13,401.0,Wallet,47,689.5
ORD100232,2023-01-10 16:00:00,Kolkata,Pizza Corner,464.69,49.17,341.41,Cash,53,172.45
ORD100233,2023-01-10 17:00:00,Mumbai,South Express,1823.88,20.55,79.2,Wallet,14,1765.23
ORD100234,2023-01-10 18:00:00,Bangalore,Pizza Corner,866.95,31.58,495.26,Wallet,30,403.2700000000001
ORD100235,2023-01-10 19:00:00,Chennai,Spice Hub,1055.85,10.33,322.38,UPI,47,743.7999999999998
ORD100236,2023-01-10 20:00:00,Hyderabad,Biryani House,1413.07,79.54,32.76,Wallet,48,1459.85
ORD100237,2023-01-10 21:00:00,Delhi,Spice Hub,1362.72,27.19,121.57,Cash,53,1268.3400000000001
ORD100238,2023-01-10 22:00:00,Pune,South Express,1992.35,51.08,155.02,UPI,10,1888.4099999999999
ORD100239,2023-01-10 23:00:00,Delhi,Pizza Corner,655.61,66.32,227.39,Card,65,494.5400000000001
ORD100240,2023-01-11 00:00:00,Kolkata,Urban Tadka,1735.2,72.17,61.5,Wallet,29,1745.8700000000001
ORD100241,2023-01-11 01:00:00,Chennai,Spice Hub,397.94,89.76,172.3,Cash,36,315.4
ORD100242,2023-01-11 02:00:00,Bangalore,Biryani House,326.11,92.66,469.76,UPI,69,-50.99000000000001
ORD100243,2023-01-11 03:00:00,Chennai,Tandoori Nights,1498.32,22.5,249.85,UPI,34,1270.97
ORD100244,2023-01-11 04:00:00,Pune,Tandoori Nights,1749.19,32.22,278.64,Cash,51,1502.77
ORD100245,2023-01-11 05:00:00,Bangalore,Tandoori Nights,559.49,36.82,475.54,Cash,14,120.77000000000004
ORD100246,2023-01-11 06:00:00,Delhi,Spice Hub,1298.36,31.75,158.33,Wallet,12,1171.78
